rank,tier,title,category,gap,placement,effort,current_support,proposed_increment,priority_rationale,observed_precedent,dependencies,source_numbers,source_titles,source_urls,source_notes
21,Next candidates,Typed submission output transformations,Submission,API,Helper,M,onSubmit receives exposed form values; applications transform them inside their handlers.,"Define a typed input-to-output projection evaluated for a specific submit snapshot, optionally using a schema's parsed output.",Separates editable representations from the DTO while retaining compile-time output inference.,Mantine exposes transformValues and its transformed output type.,None,21,Mantine: form values,https://mantine.dev/form/values/,Official documentation; unversioned unless indicated.
22,Next candidates,Submit policy that waits for validation,Submission,API,Core,M,The valid gate refuses pending state; it does not await completion and automatically resume the same attempt.,"Add an explicit wait policy using a stable value revision, cancellation and timeout; invoke the handler only after that revision satisfies the gate.",Prevents users needing a second click after remote validation finishes.,jQuery Validation defers submission while remote requests are pending.,"10,19",65,jQuery Validation: core validator implementation,https://raw.githubusercontent.com/jquery-validation/jquery-validation/master/src/core.js,"Official source; step validation, deferred submission, and reuse of matching remote-validation results."
23,Next candidates,Public source-owned error contributions,Validation,API,Core,M,"CVA/state hooks, Angular-control bridges and returned submission errors already contribute errors through scoped paths.","Expose an application-level error source with update and dispose semantics, preserving independent sources and clearing only the owner's errors.","Supports external services, imported diagnostics and background checks outside a bound component.",Vuelidate external results illustrate independent application error input; ownership leases are our proposed refinement.,None,24,Vuelidate: advanced usage,https://vuelidate-next.netlify.app/advanced_usage,Official documentation; unversioned unless indicated.
24,Next candidates,Typed submit intents,Submission,API,Core,M,Native submit events can be observed; submit() has no typed action metadata parameter.,"Pass a typed intent such as saveDraft or publish through native and programmatic submission, with explicitly selected gating policy.",Lets one form support different actions without side-channel flags or timing-sensitive button handlers.,TanStack Form supports submit metadata; Conform demonstrates intent buttons.,None,9; 47,TanStack Form: submission handling; Conform: intent buttons,https://tanstack.com/form/latest/docs/framework/react/guides/submission-handling; https://conform.guide/intent-button,Official documentation; unversioned unless indicated.; Official documentation; unversioned unless indicated.
25,Next candidates,Submission outcome and result state,Submission,API,Helper,M,"submitted means an attempt occurred; submitting does not record success, failure, result or attempt count.","Expose typed last outcome, attempt count and optional result data with reset and stale-attempt semantics.","Simplifies success feedback, retries and parent coordination.",Final Form exposes success/failure state; React Hook Form exposes submission count and success.,19,18; 10,Final Form: FormState; React Hook Form: formState,https://final-form.org/docs/final-form/types/FormState; https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform/formstate.mdx,"Official documentation; unversioned unless indicated.; Official documentation source; live master, not a release pin."
26,Next candidates,Unsaved-change navigation guard,Workflow,Composition,Adapter,M,Consumers can combine router hooks and state; dirty alone cannot represent data restored to its saved value.,"Provide router and beforeunload integration driven by baseline changes, with explicit discard/continue handling and disposal.",Prevents accidental abandonment while avoiding warnings for already-saved or reverted data.,Superforms supports tainted-form navigation confirmation.,"2,3",31,Superforms v2: tainted fields,https://superforms.rocks/concepts/tainted,Official documentation; unversioned unless indicated.
27,Next candidates,Selective reset options,State,API,Core,M,reset clears interaction in its scope; resetToInitial restores captured defaults; retention is not configurable.,"Allow explicit retention of selected interaction, error-source and submission states while independently choosing values and baseline policy.",Supports successful partial saves and server corrections without resetting unrelated UX.,React Hook Form exposes granular reset retention options.,"3,23,25",11,React Hook Form: reset,https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform/reset.mdx,"Official documentation source; live master, not a release pin."
28,Next candidates,Server validation hydration envelope,Server integration,Integration,Adapter,L,"Angular binding hydration is tested; values and errors can be supplied separately, but no portable server form-state envelope exists.","Hydrate matching schema/value revisions, errors and baseline as one unit, rejecting stale or incompatible envelopes and avoiding a false first-render transition.",Supports server-rendered validation responses and consistent first-paint feedback.,VeeValidate supports initial errors; Superforms returns validated form data from server actions.,"1,3,9",22; 34,VeeValidate v4: handling forms; Superforms v2: file uploads,https://vee-validate.logaretm.com/v4/guide/composition-api/handling-forms; https://superforms.rocks/concepts/files,Versioned v4 reference; not represented as the newest major.; Official documentation; unversioned unless indicated.
29,Next candidates,Typed deep paths and composable lenses,Type API,API,Helper,M,Direct child access and immediate add/get/remove exist; reusable infrastructure must implement deep traversal.,Provide typed path tuples and composable node lenses with safe optional/dynamic traversal and explicit unresolved results.,Helps reusable subform components and backend adapters without replacing ergonomic direct node access.,React Hook Form Lenses supplies composable typed field traversal.,None,14,React Hook Form Lenses,https://github.com/react-hook-form/lenses,Official companion package; README/API evidence.
30,Next candidates,Native File and File[] bindings,Controls,API,Adapter,M,Atomic fields can hold rich values; the native file input currently falls through to string value handling.,"Read selected files with typed single/multiple policy, clear the DOM correctly on reset, and model existing attachments separately from a browser selection.",Fills a concrete native-control gap in common profile and attachment forms.,FormKit and Superforms provide file input binding helpers.,None,40; 34,FormKit: file input; Superforms v2: file uploads,https://formkit.com/inputs/file; https://superforms.rocks/concepts/files,Official documentation; unversioned unless indicated.; Official documentation; unversioned unless indicated.
31,Next candidates,Nested FormData serialization and decoding,Transport,Integration,Adapter,M,Nodes expose JavaScript values; callers define transport encodings.,"Encode/decode nested objects, repeated arrays, nulls, booleans and files under a documented naming convention with validation of decoded input.",Avoids incompatible multipart payload conventions across applications.,Superforms handles file-aware requests and distinguishes nested JSON transport from ordinary FormData; our proposal would define its own explicit multipart convention.,30,34; 81,Superforms v2: file uploads; Superforms v2: nested data,https://superforms.rocks/concepts/files; https://superforms.rocks/concepts/nested-data,Official documentation; unversioned unless indicated.; Documents nested transport and the distinction between JSON data and browser FormData.
32,Next candidates,Typed submission field projection,Submission,Composition,Helper,M,Hidden and disabled values remain in the model; consumers manually remove UI-only fields before sending.,Select included paths or apply an explicit participation predicate at the submit boundary while preserving the complete editable model.,"Prevents accidental transport of confirmation fields, display state and irrelevant branches.",VeeValidate exposes controlledValues and withControlled submission.,29,22,VeeValidate v4: handling forms,https://vee-validate.logaretm.com/v4/guide/composition-api/handling-forms,Versioned v4 reference; not represented as the newest major.
33,Next candidates,Opt-in binding participation policy,Structure,API,Adapter,L,Node lifetime is independent of DOM mounting; unbinding releases ownership but does not remove model data.,"Offer an explicit binding-managed policy for retain, exclude or unregister, including reference counting for multiple hosts.",Makes conditional DOM-driven forms possible without changing the current safe default.,React Hook Form exposes shouldUnregister; Modular Forms distinguishes active mounted fields.,32,12; 51,React Hook Form: useForm; Modular Forms: Field,https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform.mdx; https://modularforms.dev/react/api/Field,"Official documentation source; live master, not a release pin.; Maintenance-mode predecessor of Formisch; used as a historical API precedent."
34,Next candidates,Named validation scopes independent of tree shape,Validation,API,Helper,M,Groups provide structural aggregation; one node belongs to one structural parent.,Define reusable selections of nodes for validation and feedback without moving or duplicating them in the tree.,"Supports approval sections, tabs and cross-cutting checks over an existing DTO shape.",Parsley has named validation groups; Vuelidate offers validation scopes.,"10,29",63; 24,Parsley: documentation; Vuelidate: advanced usage,https://parsleyjs.org/doc/; https://vuelidate-next.netlify.app/advanced_usage,jQuery ecosystem; validation groups and priority policy.; Official documentation; unversioned unless indicated.
35,Next candidates,Different revalidation policy after submission,Validation UX,API,Helper,M,"Consumers can write conditional validators, but no shared validation phase policy ships.","Select an initial trigger and a different trigger after the first attempted submit, with a reset operation that restores the initial phase.",Allows quiet first entry followed by responsive correction after an error.,TanStack revalidateLogic separates mode from modeAfterSubmission.,6,8,TanStack Form: dynamic validation,https://tanstack.com/form/latest/docs/framework/react/guides/dynamic-validation,Official documentation; unversioned unless indicated.
36,Next candidates,Rule priority and fail-fast execution,Validation,API,Core,M,Multiple rules can contribute errors; no public general priority or bail policy is exposed.,"Offer stable priorities and explicit collect-all versus stop-on-failure execution, defining how async rules and cancellation interact.",Avoids unnecessary expensive checks after a prerequisite has already failed.,Parsley supports validation priorities; Ant Design exposes validateFirst.,None,63; 27,Parsley: documentation; Ant Design: Form,https://parsleyjs.org/doc/; https://ant.design/components/form/,jQuery ecosystem; validation groups and priority policy.; Official documentation; unversioned unless indicated.
37,Next candidates,Validation-only normalization,Validation,Composition,Helper,S,Applications can transform values inside custom validators; no reusable validation-input normalization helper ships.,"Compose a normalizer that changes only what validators inspect, leaving displayed and committed values unchanged.",Useful for whitespace-insensitive checks when silently rewriting user input would be wrong.,jQuery Validation provides a normalizer hook.,None,66,jQuery Validation: normalizer,https://jquery-validation.github.io/normalizer/,Official documentation; unversioned unless indicated.
38,Next candidates,Remote validation result cache,Validation,Composition,Helper,M,"Async cancellation, parameters and debounce exist; repeat requests are not backed by a public cache policy.","Cache by rule identity and all relevant parameters with expiry, invalidation and explicit per-form or shared ownership.",Reduces repeated network work when users revisit the same values.,jQuery Validation reuses the prior result when serialized remote parameters match.,None,65,jQuery Validation: core validator implementation,https://raw.githubusercontent.com/jquery-validation/jquery-validation/master/src/core.js,"Official source; step validation, deferred submission, and reuse of matching remote-validation results."
39,Next candidates,Validation probes without publishing new messages,Validation UX,API,Core,M,"Reading valid() is non-mutating, but there is no explicit run that returns fresh async results while withholding their presentation.",Provide a validate-only execution mode returning results without touching fields or replacing visible message state; make result lifetime explicit.,Useful for eligibility previews and action availability checks before requesting user correction.,Ant Design exposes validateFields({ validateOnly: true }).,"10,11",27,Ant Design: Form,https://ant.design/components/form/,Official documentation; unversioned unless indicated.
40,Next candidates,Transactional subform editing,State,Composition,Helper,L,A nested form mutates its own live tree; a separate form can be constructed manually for a dialog.,Fork an editable working copy with explicit apply/cancel and conflict detection if the source changes while the dialog is open.,Makes modal address or row editors predictable without leaking half-completed edits into the parent.,Ember Changeset stages changes before execute/save and supports rollback.,"4,16",46,Ember Changeset,https://github.com/adopted-ember-addons/ember-changeset,"Maintainer repository; staged changes, execution, rollback and snapshots."
41,Next candidates,Undo and redo history,State,Composition,Helper,L,reset returns to a declared baseline; no ordered user-edit history is maintained.,"Record bounded, coalesced checkpoints with transaction boundaries, redo invalidation and exclusions for sensitive or large values.",Benefits long content and administrative forms where a single reset is too coarse.,React Form Autosave documents optional undo/redo history; evidence is limited to its README.,"7,16",45,React Form Autosave,https://github.com/686f6c61/react-form-autosave,"Small community helper. README evidence only; maintenance, reliability and adoption were not independently established."
42,Next candidates,Infer node constraints from external schemas,Schema integration,Integration,Adapter,L,Built-in validators already supply required/min/max metadata; schema libraries are not connected.,Add schema-specific introspection bridges for supported required/range/pattern constraints and document unsupported refinements.,Keeps native attributes and visual requirements consistent with external domain schemas.,Formly maps JSON Schema into field configuration. Standard Schema validation alone does not guarantee introspection.,1,59,Formly: JSON Schema,https://formly.dev/docs/guide/json-schema/,Official documentation; unversioned unless indicated.
43,Next candidates,Optional browser constraint-validation bridge,Accessibility,Integration,Adapter,M,Native parsing and several constraint attributes are synchronized; no full public setCustomValidity/reportValidity policy ships.,Bridge selected node errors to browser custom validity and define native versus custom presentation without introducing duplicate submission paths.,Supports applications that want browser validation UI while retaining node-based rules.,React Spectrum exposes native versus ARIA validation behavior.,11,49,React Spectrum: Form,https://react-spectrum.adobe.com/v3/Form.html,Versioned v3 component reference; native versus ARIA validation behavior.
44,Next candidates,"Label, help and error association helpers",Accessibility,Composition,Adapter,M,State attributes and custom control state exist; applications create label and message IDs and wire their relationships.,Provide stable IDs and composable label/help/error bindings that preserve consumer aria-describedby entries and work across custom hosts.,Improves accessibility consistency at every field without prescribing markup.,Conform documents field IDs and accessible message associations.,None,48,Conform: accessibility,https://conform.guide/accessibility,Official documentation; unversioned unless indicated.
45,Next candidates,Coordination across independent forms,Workflow,Composition,Helper,M,Nested forms and closest-form discovery exist; independent roots have no named coordination registry.,Register roots with scoped names and expose aggregate pending/changed state plus ordered multi-form actions without reparenting nodes.,Supports split screens and separate dialogs whose changes are saved together.,Ant Design Form.Provider links named forms and their events.,"10,25",27,Ant Design: Form,https://ant.design/components/form/,Official documentation; unversioned unless indicated.
46,Next candidates,Managed calculated fields with override policy,Data workflow,Composition,Helper,M,"computed values and onValueChange can implement calculations; callers manage writes, loops and user overrides.","Package a derived-field binding with dependencies, lifecycle, optional manual override and explicit restoration of automatic calculation.","Useful for totals, generated slugs and shipping defaults while preserving user intent.",Final Form Calculate provides declarative field calculations; manual-override policy is our proposed addition.,7,20,Final Form Calculate,https://github.com/final-form/final-form-calculate,Companion decorator; declarative calculations.
47,Next candidates,Extensible typed node metadata,Extensibility,API,Core,M,Constraint metadata exists internally and as fixed public signals; arbitrary public metadata keys are not exported.,"Expose typed keys and explicit reducer/inheritance rules for labels, descriptions and integration hints.","Creates one shared extension surface for inspectors, schema bridges and renderers.",Angular Signal Forms exposes metadata rules and reducers.,None,5,Angular 22.1.6: metadata rules,https://github.com/angular/angular/blob/356adf749188d996a641181c56621a6285126f3c/packages/forms/signals/src/api/rules/metadata.ts,Pinned public metadata mechanism; accompanying tests in test/node/api/metadata.spec.ts.
48,Next candidates,Managed node plugins with disposal,Extensibility,API,Core,L,"Factories, configuration and callbacks are extensible; consumers manually coordinate cross-cutting lifecycle cleanup.","Provide plugin installation, inherited scope, deterministic disposal and opt-in hooks around supported lifecycle events.",Lets optional helpers integrate consistently without adding every feature to node options.,FormKit's architecture supports plugins and node hooks.,47,38,FormKit: architecture,https://formkit.com/essentials/architecture,Official documentation; unversioned unless indicated.
49,Next candidates,Pre-commit change interception,State,API,Core,L,onValueChange observes committed changes; it is not a veto or pre-commit transform.,"Offer an explicit interception contract with source metadata, transform/reject outcomes and reentrancy rules for selected writes.",Supports locked business transitions and centralized normalization that must happen before observers see a value.,"MobX Formkit, the successor of MobX React Form, exposes interceptors backed by MobX.",7,62; 86,MobX Formkit: interceptor implementation; MobX Formkit: project and migration,https://raw.githubusercontent.com/foxhound87/mobx-formkit/master/src/Base.ts; https://github.com/foxhound87/mobx-formkit,"Maintainer source for the successor of MobX React Form; live master, not a release pin.; Maintainer README records the rename and deprecation of the legacy mobx-react-form package."
50,Next candidates,Managed remote choices,Data workflow,Composition,Helper,M,Signals can feed option lists externally; the library does not own option loading state.,"Load options from reactive parameters with cancellation, stable value identity and loading/error/empty states separate from field validity.",Removes repeated async select plumbing while keeping fetching outside the core node.,SurveyJS can load choices from a REST service.,None,68,SurveyJS: RESTful choices,https://surveyjs.io/form-library/documentation/api-reference/choicesrestful,Official documentation; unversioned unless indicated.
51,Conditional investment,Cascading choice reconciliation,Data workflow,Composition,Helper,M,Cross-field callbacks can reset a dependent value; invalidation and races are left to each app.,"Coordinate parent-dependent option changes and explicitly retain, clear or flag selections that are no longer available.",Prevents stale country/city or category/product combinations after upstream edits.,SurveyJS supports choice URLs that reload when referenced answers change.,50,68,SurveyJS: RESTful choices,https://surveyjs.io/form-library/documentation/api-reference/choicesrestful,Official documentation; unversioned unless indicated.
52,Conditional investment,Construct nodes from JSON Schema,Schema integration,Integration,Adapter,L,Factories build typed trees in code; no exported JSON Schema-to-node constructor exists.,"Build node structure, defaults and supported validators from a documented JSON Schema subset, with override hooks and diagnostics.",Enables metadata-driven business forms while preserving manually authored forms as the primary API.,Formly provides a JSON Schema mapping service.,"42,47",59,Formly: JSON Schema,https://formly.dev/docs/guide/json-schema/,Official documentation; unversioned unless indicated.
53,Conditional investment,Schema renderer and component registry,Rendering,Integration,UI package,L,The library binds supplied controls; it does not render a form from metadata.,Ship an optional renderer that resolves field kinds through a registry and binds existing Form Nodes to consumer-selected components.,Allows generated forms without embedding a design system in the core package.,JSON Forms publishes renderer sets for several frameworks.,"47,52",54,JSON Forms: renderer sets,https://jsonforms.io/docs/renderer-sets/,Official documentation; unversioned unless indicated.
54,Conditional investment,Declarative form layout schema,Rendering,Integration,UI package,M,Applications own templates and layout; no serializable layout vocabulary ships.,"Represent sections, groups, tabs and responsive layout separately from data paths, preserving state when layout changes.",Lets a generated form match a usable screen rather than just listing every property.,JSON Forms separates layouts from data schema.,53,55,JSON Forms: layouts,https://jsonforms.io/docs/uischema/layouts/,Official documentation; unversioned unless indicated.
55,Conditional investment,Discriminated-union branch controller,Structure,Composition,Helper,L,Dynamic children and conditional state already exist; callers coordinate alternative shapes and their retained data.,"Manage named schema variants with typed narrowing, explicit branch retention and validation/submission participation.",Fits payment methods and person/company forms without scattered branch cleanup.,Formisch documents schema variants for conditional structures.,"32,52",52,Formisch: migration from Modular Forms,https://formisch.dev/qwik/guides/migrate-from-modular-forms/,Official successor documentation; explicitly records changed and removed semantics.
56,Conditional investment,Per-row schema rendering rules,Rendering,Integration,UI package,M,Array factories can create different nodes; component/layout selection for each row remains application code.,Resolve renderer metadata per item value/index with stable identity and predictable updates when a discriminator changes.,Supports heterogeneous order lines without rebuilding unaffected controls.,react-jsonschema-form supports dynamic per-item UI schema functions.,53,57,react-jsonschema-form: dynamic UI schema,https://rjsf-team.github.io/react-jsonschema-form/docs/api-reference/dynamic-ui-schema-examples/,Official documentation; unversioned unless indicated.
57,Conditional investment,Recursive schema references with lazy expansion,Schema integration,Integration,Adapter,L,Applications can use factories for recursive structures; no schema-reference resolver is exported.,"Resolve reusable and recursive schema references lazily, distinguishing schema cycles from invalid cyclic data and limiting expansion.",Enables tree editors while avoiding eager infinite node construction.,react-jsonschema-form documents schema definitions and references.,52,58,react-jsonschema-form: definitions and references,https://rjsf-team.github.io/react-jsonschema-form/docs/usage/definitions/,Official documentation; unversioned unless indicated.
58,Conditional investment,Client/server form action protocol,Server integration,Integration,Adapter,L,onSubmit accepts arbitrary application handlers; error/result transport has no shared contract.,"Define request/result envelopes, server decoding and validation helpers, and client mapping against the submitted revision.",Reduces duplication between server validation and client form feedback.,Modular Forms historically integrated server actions; Formisch explicitly documents that this integration does not yet carry over.,"1,9,21,28,31",52; 34,Formisch: migration from Modular Forms; Superforms v2: file uploads,https://formisch.dev/qwik/guides/migrate-from-modular-forms/; https://superforms.rocks/concepts/files,Official successor documentation; explicitly records changed and removed semantics.; Official documentation; unversioned unless indicated.
